id,referencia,marca,capacidad,consumo,ciudad,responsable
1214,ACH01,sony,2085,2037,itagui,Jhon doe
3928,ACH22,kalley,102,483,Medellin,Carlos Zapata
6751,ACH01,rico,746,556,Envigado,Ana Rubio
3669,ACH22,rico,2018,2255,itagui,Carlos Zapata
9466,ACH43,kalley,272,399,Medellin,Martha builes
9504,ACH22,kalley,2047,2452,itagui,Jhon doe
1374,ACH01,rico,400,169,Medellin,Jhon doe
4722,ACH01,sony,138,457,Medellin,Carlos Zapata
8697,ACH43,kalley,2465,2107,itagui,Pedro Perez
5980,ACH22,kalley,1413,1208,Sabaneta,Pedro Perez
940,ACH22,sony,1994,1826,La estrella,Martha builes
8204,ACH22,rico,1659,1950,La estrella,Ana Rubio
405,ACH22,sony,718,900,Envigado,Pedro Perez
163,ACH22,sony,1446,1122,Sabaneta,Pedro Perez
7477,ACH43,kalley,1965,1885,La estrella,Pedro Perez
5307,ACH22,rico,520,888,Envigado,Carlos Zapata
906,ACH22,kalley,1234,1050,Sabaneta,Pedro Perez
6796,ACH22,sony,2383,2357,itagui,Pedro Perez
4458,ACH43,sony,467,500,Medellin,Martha builes
5039,ACH22,sony,1146,1125,Sabaneta,Pedro Perez
546,ACH43,kalley,761,809,Envigado,Ana Rubio
5703,ACH43,rico,841,593,Envigado,Carlos Zapata
8253,ACH22,rico,532,811,Envigado,Carlos Zapata
1641,ACH22,kalley,432,240,Medellin,Jhon doe
5869,ACH22,sony,199,119,Medellin,Martha builes
7046,ACH22,sony,639,966,Envigado,Ana Rubio
1600,ACH01,rico,1695,1722,La estrella,Ana Rubio
3024,ACH43,rico,2291,2156,itagui,Jhon doe
6839,ACH22,kalley,1190,1394,Sabaneta,Jhon doe
7071,ACH22,rico,371,429,Medellin,Ana Rubio
6874,ACH43,kalley,1982,1905,La estrella,Jhon doe
8969,ACH43,sony,302,194,Medellin,Ana Rubio
3162,ACH22,sony,2047,2070,itagui,Ana Rubio
5440,ACH01,sony,1232,1062,Sabaneta,Jhon doe
822,ACH01,rico,552,812,Envigado,Ana Rubio
8696,ACH22,kalley,1181,1146,Sabaneta,Pedro Perez
1712,ACH22,rico,1506,1718,La estrella,Carlos Zapata
3581,ACH01,kalley,127,292,Medellin,Ana Rubio
9227,ACH22,rico,628,942,Envigado,Ana Rubio
228,ACH43,rico,596,601,Envigado,Carlos Zapata
5739,ACH22,rico,444,455,Medellin,Martha builes
3880,ACH01,sony,1331,1442,Sabaneta,Martha builes
1301,ACH43,sony,823,815,Envigado,Ana Rubio
1751,ACH43,sony,460,420,Medellin,Ana Rubio
5272,ACH01,rico,742,882,Envigado,Carlos Zapata
4499,ACH01,sony,1260,1265,Sabaneta,Martha builes
6064,ACH22,sony,117,387,Medellin,Ana Rubio
7101,ACH01,rico,1273,1464,Sabaneta,Carlos Zapata
2360,ACH22,rico,1742,1865,La estrella,Ana Rubio
9830,ACH22,kalley,1393,1108,Sabaneta,Ana Rubio
6897,ACH22,sony,645,886,Envigado,Pedro Perez
810,ACH01,rico,155,310,Medellin,Martha builes
1094,ACH01,sony,146,300,Medellin,Carlos Zapata
3396,ACH43,sony,301,255,Medellin,Ana Rubio
1130,ACH43,sony,1549,1722,La estrella,Martha builes
2560,ACH22,sony,449,126,Medellin,Carlos Zapata
3748,ACH22,sony,1935,1745,La estrella,Ana Rubio
1794,ACH01,kalley,241,193,Medellin,Jhon doe
2136,ACH01,rico,577,693,Envigado,Ana Rubio
8488,ACH22,kalley,1824,1584,La estrella,Martha builes
8358,ACH01,kalley,775,951,Envigado,Martha builes
9,ACH22,kalley,1447,1007,Sabaneta,Carlos Zapata
2279,ACH43,sony,2466,2112,itagui,Jhon doe
5881,ACH01,rico,2038,2002,itagui,Jhon doe
4643,ACH43,rico,738,524,Envigado,Ana Rubio
893,ACH43,rico,2186,2002,itagui,Pedro Perez
8197,ACH01,rico,444,295,Medellin,Ana Rubio
4082,ACH22,kalley,1960,1761,La estrella,Ana Rubio
8518,ACH22,sony,1904,1763,La estrella,Ana Rubio
8567,ACH22,kalley,2200,2001,itagui,Martha builes
7739,ACH22,rico,110,251,Medellin,Pedro Perez
623,ACH22,sony,331,481,Medellin,Ana Rubio
256,ACH22,kalley,1224,1437,Sabaneta,Ana Rubio
5061,ACH43,kalley,374,434,Medellin,Martha builes
6217,ACH01,kalley,1901,1590,La estrella,Pedro Perez
5325,ACH22,rico,2230,2158,itagui,Martha builes
4093,ACH01,rico,912,544,Envigado,Carlos Zapata
8859,ACH22,sony,2361,2011,itagui,Carlos Zapata
7576,ACH01,rico,2201,2189,itagui,Pedro Perez
5861,ACH22,kalley,1890,1912,La estrella,Ana Rubio
8149,ACH01,rico,613,775,Envigado,Carlos Zapata
8275,ACH01,sony,1279,1152,Sabaneta,Pedro Perez
9150,ACH22,sony,2222,2202,itagui,Ana Rubio
7507,ACH22,kalley,2092,2154,itagui,Martha builes
5056,ACH22,rico,1888,1650,La estrella,Ana Rubio
4052,ACH43,kalley,566,804,Envigado,Martha builes
8720,ACH43,kalley,901,556,Envigado,Jhon doe
5566,ACH22,sony,163,305,Medellin,Jhon doe
7791,ACH01,sony,2147,2178,itagui,Ana Rubio
6245,ACH43,rico,1726,1997,La estrella,Martha builes
5249,ACH01,sony,342,382,Medellin,Jhon doe
725,ACH01,rico,1227,1184,Sabaneta,Ana Rubio
2543,ACH01,rico,1690,1593,La estrella,Jhon doe
878,ACH01,kalley,2203,2195,itagui,Jhon doe
9583,ACH01,sony,1446,1176,Sabaneta,Pedro Perez
7444,ACH43,kalley,463,367,Medellin,Jhon doe
4205,ACH43,rico,561,668,Envigado,Carlos Zapata
1223,ACH01,rico,506,615,Envigado,Pedro Perez
6744,ACH01,kalley,125,383,Medellin,Ana Rubio
9291,ACH01,sony,330,441,Medellin,Jhon doe
1028,ACH22,sony,1990,1969,La estrella,Ana Rubio
5459,ACH43,rico,1437,1085,Sabaneta,Pedro Perez
9533,ACH01,kalley,953,769,Envigado,Martha builes
5027,ACH01,rico,504,583,Envigado,Ana Rubio
8420,ACH43,kalley,652,899,Envigado,Jhon doe
9260,ACH43,sony,209,355,Medellin,Carlos Zapata
261,ACH22,kalley,1710,1855,La estrella,Ana Rubio
1748,ACH22,kalley,1786,1694,La estrella,Martha builes
3182,ACH43,kalley,837,898,Envigado,Carlos Zapata
475,ACH01,sony,233,243,Medellin,Carlos Zapata
5873,ACH01,kalley,1812,1994,La estrella,Martha builes
5523,ACH43,sony,2443,2289,itagui,Jhon doe
4330,ACH43,sony,2452,2095,itagui,Pedro Perez
4355,ACH43,kalley,2163,2400,itagui,Jhon doe
591,ACH43,kalley,214,143,Medellin,Jhon doe
2027,ACH43,sony,1702,1779,La estrella,Jhon doe
3852,ACH01,sony,1941,1503,La estrella,Martha builes
513,ACH43,kalley,431,257,Medellin,Pedro Perez
6213,ACH43,kalley,987,508,Envigado,Carlos Zapata
573,ACH01,kalley,956,755,Envigado,Jhon doe
2046,ACH43,kalley,2353,2357,itagui,Jhon doe
7938,ACH43,sony,1007,1318,Sabaneta,Martha builes
9802,ACH43,rico,2155,2461,itagui,Martha builes
8626,ACH43,rico,484,103,Medellin,Ana Rubio
4024,ACH01,kalley,2478,2069,itagui,Carlos Zapata
8830,ACH43,sony,273,166,Medellin,Jhon doe
7273,ACH01,rico,2160,2010,itagui,Jhon doe
3287,ACH43,rico,1717,1880,La estrella,Jhon doe
6095,ACH22,rico,1851,1698,La estrella,Martha builes
7730,ACH22,kalley,1180,1146,Sabaneta,Pedro Perez
8915,ACH01,kalley,1549,1516,La estrella,Martha builes
434,ACH01,rico,1185,1500,Sabaneta,Ana Rubio
2124,ACH01,kalley,439,147,Medellin,Pedro Perez
4484,ACH43,kalley,1604,1533,La estrella,Ana Rubio
3769,ACH01,kalley,1239,1056,Sabaneta,Jhon doe
3895,ACH01,sony,1992,1739,La estrella,Martha builes
5682,ACH43,kalley,434,379,Medellin,Martha builes
7865,ACH22,kalley,1777,1548,La estrella,Pedro Perez
3725,ACH43,rico,1925,1828,La estrella,Ana Rubio
3802,ACH22,sony,1549,1785,La estrella,Ana Rubio
4874,ACH22,rico,285,282,Medellin,Jhon doe
6257,ACH43,rico,392,331,Medellin,Jhon doe
2233,ACH43,sony,1023,1336,Sabaneta,Ana Rubio
6883,ACH43,sony,1714,1556,La estrella,Jhon doe
5013,ACH43,rico,1814,1952,La estrella,Carlos Zapata
4734,ACH43,kalley,1591,1726,La estrella,Carlos Zapata
5760,ACH43,sony,2083,2078,itagui,Pedro Perez
79,ACH01,rico,2276,2001,itagui,Carlos Zapata
270,ACH22,rico,231,288,Medellin,Ana Rubio
6881,ACH22,kalley,1405,1149,Sabaneta,Pedro Perez
1360,ACH22,rico,2062,2024,itagui,Carlos Zapata
6460,ACH01,rico,1271,1469,Sabaneta,Pedro Perez
7429,ACH43,rico,322,221,Medellin,Martha builes
9768,ACH22,kalley,1772,1879,La estrella,Carlos Zapata
3386,ACH01,sony,131,315,Medellin,Ana Rubio
4673,ACH43,sony,1419,1130,Sabaneta,Martha builes
2809,ACH01,rico,1035,1454,Sabaneta,Ana Rubio
5278,ACH22,rico,487,470,Medellin,Pedro Perez
1506,ACH22,rico,1987,1720,La estrella,Jhon doe
2753,ACH01,sony,2198,2125,itagui,Carlos Zapata
3833,ACH01,kalley,1457,1093,Sabaneta,Martha builes
3230,ACH01,rico,414,192,Medellin,Carlos Zapata
944,ACH43,rico,2395,2334,itagui,Martha builes
4381,ACH43,kalley,1272,1434,Sabaneta,Pedro Perez
9369,ACH43,kalley,1655,1566,La estrella,Carlos Zapata
205,ACH01,rico,602,551,Envigado,Ana Rubio
2524,ACH43,kalley,1103,1212,Sabaneta,Martha builes
2909,ACH22,sony,2421,2169,itagui,Ana Rubio
8389,ACH01,kalley,994,782,Envigado,Carlos Zapata
1027,ACH22,kalley,1248,1450,Sabaneta,Carlos Zapata
2756,ACH22,sony,2243,2288,itagui,Carlos Zapata
4495,ACH01,kalley,953,802,Envigado,Pedro Perez
9728,ACH43,sony,875,788,Envigado,Pedro Perez
8839,ACH22,sony,932,620,Envigado,Martha builes
7140,ACH22,kalley,256,354,Medellin,Ana Rubio
3958,ACH22,rico,1187,1137,Sabaneta,Martha builes
273,ACH43,rico,386,367,Medellin,Carlos Zapata
9170,ACH22,rico,1644,1922,La estrella,Carlos Zapata
2349,ACH43,kalley,804,532,Envigado,Pedro Perez
2135,ACH01,kalley,589,624,Envigado,Jhon doe
4478,ACH22,sony,657,650,Envigado,Pedro Perez
620,ACH22,kalley,2468,2099,itagui,Pedro Perez
8780,ACH43,kalley,880,986,Envigado,Carlos Zapata
2017,ACH22,rico,1813,1931,La estrella,Carlos Zapata
3318,ACH43,rico,831,813,Envigado,Ana Rubio
7124,ACH43,sony,2147,2435,itagui,Jhon doe
5467,ACH01,kalley,833,788,Envigado,Jhon doe
946,ACH01,sony,419,163,Medellin,Carlos Zapata
295,ACH43,sony,1603,1850,La estrella,Ana Rubio
1921,ACH01,rico,2094,2431,itagui,Martha builes
180,ACH22,sony,1472,1183,Sabaneta,Martha builes
7538,ACH43,sony,673,821,Envigado,Jhon doe
8652,ACH43,kalley,877,739,Envigado,Jhon doe
9243,ACH43,rico,219,118,Medellin,Jhon doe
9057,ACH22,rico,959,783,Envigado,Carlos Zapata
